"","X0477.IgAneg","X0477.IgApos","X0477.IgGneg","X0477.IgGpos","X0477.pre","X7313.IgAneg","X7313.IgApos","X7313.IgGneg","X7313.IgGpos","X7313.pre","X9329.IgAneg","X9329.IgApos","X9329.IgGneg","X9329.IgGpos","X9329.pre","X8489.IgApos","X6095.IgApos","X6095.IgAneg","X6095.pre","X6095.IgGpos","X8489.IgAneg","X6095.IgGneg","X8489.pre","X8489.IgGpos","X8489.IgGneg","X1275.IgApos","X1275.IgAneg","X1275.pre","X9366.IgApos","X9366.IgAneg","X9366.pre","X9366.IgGpos","X9366.IgGneg","X1275.IgGpos","X1275.IgGneg","X2225.IgApos","X2225.IgAneg","X2225.pre","X2225.IgGpos","X2225.IgGneg","X4608.IgApos","X4608.IgAneg","X4608.pre","X4608.IgGpos","X4608.IgGneg","X8296.IgApos","X8296.IgAneg","X8296.pre","X8296.IgGpos","X8296.IgGneg","X3124.IgApos","X3124.IgAneg","X8531.IgApos","X8531.IgAneg","X8531.pre","X8531.IgGpos","X3124.pre","X8531.IgGneg","X3124.IgGpos","X3124.IgGneg"
"ASV46",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,15,50,54,3,67,42,75,19,56,0,0,0,0,0,0,0,0,0,0,1,5,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV47",23,76,58,21,41,194,46,250,27,132,27,0,62,7,29,6,63,10,21,28,1,14,11,12,2,29,16,16,0,16,5,4,11,14,15,19,186,63,20,120,110,41,68,19,108,8,3,0,0,7,46,32,28,60,45,14,54,72,34,52
"ASV48",23,10,12,0,5,3,0,7,0,0,72,3,84,2,70,10,0,8,5,23,148,9,99,15,62,0,0,0,48,146,112,16,150,0,0,0,9,3,0,11,16,50,46,3,48,12,43,30,5,37,10,81,10,53,21,7,53,20,3,60
"ASV49",0,74,0,74,32,0,35,3,19,5,8,4,0,8,5,12,0,0,0,0,0,0,5,8,7,20,0,0,0,0,0,0,0,11,0,2,2,0,2,0,0,0,0,0,0,87,0,53,128,20,0,0,4,0,1,15,0,0,0,0
"ASV50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,321,283,221,0,319,0,0,0,166,138,110,0,0,0,0,0,90,100,8,49,28,106,6,0,0,0,0,0,0,0,0,0,0,64,38,184,150,184,481,38,120,192,36
"ASV51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV52",0,0,0,0,0,0,0,0,0,0,185,78,350,24,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV53",0,0,0,0,0,0,0,0,0,0,69,50,34,87,55,0,13,2,2,42,0,0,0,0,0,90,4,4,4,0,0,13,0,36,3,49,98,58,54,125,94,11,42,366,2,4,0,0,5,1,103,45,15,0,5,0,62,2,391,9
"ASV54",10,65,16,37,36,106,98,76,158,66,35,59,26,23,24,11,67,35,24,124,10,34,9,17,10,33,10,8,17,9,22,21,17,27,7,8,0,11,12,8,14,0,5,13,13,57,27,35,55,31,28,0,79,68,69,129,17,94,16,10
"ASV55",0,0,0,0,0,231,76,121,260,173,0,0,0,0,0,2,0,0,0,0,7,0,5,11,9,46,53,45,0,0,0,0,0,37,85,7,11,12,9,13,0,0,0,0,0,0,0,0,0,0,28,68,0,0,0,0,49,0,23,63
"ASV56",0,0,0,0,0,303,168,227,225,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,35,0,0,0,0,0,1,18,0,0,0,0,0,10,4,6,2,9,0,0,0,0,0,18,4,0,0,0,0,14,0,14,11
"ASV57",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV58",0,0,0,0,0,0,0,0,0,0,0,0,12,2,10,407,59,51,88,18,229,67,323,65,405,56,212,220,34,71,78,38,77,15,236,0,0,0,0,0,194,195,203,108,212,1,0,7,12,5,0,0,0,0,0,0,0,0,0,0
"ASV59",0,187,105,112,70,38,0,22,23,0,70,0,46,66,57,0,63,0,18,93,0,0,0,0,0,11,11,21,0,0,0,0,0,10,24,61,195,80,26,230,40,0,0,33,11,14,0,0,31,0,58,0,146,0,39,321,31,21,40,14
"ASV60",0,67,7,53,25,0,0,0,0,0,0,0,0,0,0,25,7,32,21,1,17,48,8,22,9,64,36,48,0,0,0,0,0,86,26,0,0,0,0,0,0,0,0,0,0,7,0,0,1,1,0,0,20,10,13,38,0,15,0,0
"ASV61",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4,4,0,0,0,0,0,14,3,27,15,31,35,21,15,20,20,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV62",0,0,0,0,0,55,68,73,47,64,0,0,0,0,0,130,105,68,75,75,70,63,122,204,100,0,0,0,0,0,0,0,0,0,0,10,51,55,21,42,0,0,0,0,0,0,0,0,0,0,29,33,0,0,0,0,24,0,47,22
"ASV63",0,0,0,0,0,6,0,17,0,15,0,0,0,0,0,6,0,4,1,0,7,0,7,0,6,38,136,162,0,0,0,0,0,19,135,0,2,3,0,2,6,22,16,2,19,0,0,0,0,0,41,204,0,4,3,0,209,1,29,205
"ASV64",383,1255,51,3404,673,0,0,0,0,0,59,0,125,0,36,0,39,55,40,8,0,93,0,0,0,121,121,112,0,0,0,0,0,20,200,0,0,0,0,0,0,0,0,0,0,0,19,7,14,9,0,0,0,0,0,0,0,0,0,0
"ASV65",5,75,37,19,35,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,7,12,24,0,0,0,0,0,0,0,0,0,0,0,0,25,13,8,29,19,0,0,6,0,0,0,0,0,0,0
"ASV66",0,40,11,27,24,74,83,86,70,72,0,0,0,7,0,4,11,7,7,18,0,7,0,0,2,31,0,10,22,76,58,19,81,10,0,28,5,14,17,8,9,0,8,11,6,21,0,6,14,11,19,23,39,36,26,0,23,45,35,19
"ASV67",0,0,0,0,0,9,76,14,47,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,21,49,15,59,0,0,0,0,0,0,0,0,0,0,0,0,12,0,4,12,0,0,0,94,58,48,15,0,95,0,0
"ASV68",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,10,9,18,51,17,23,5,60,92,92,80,0,0,0,0,0,41,102,0,0,0,0,0,16,0,7,18,5,0,0,0,0,0,45,31,0,0,0,0,44,0,12,57
"ASV69",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,6,46,0,0,15,0,54,0,0,0,0,0,0,14,0,7,29,0,395,32,608,145,85,0,0,0,0,0,0,0,0,0,0
"ASV70",0,36,0,0,0,46,57,53,72,55,0,0,53,16,0,17,0,0,0,12,98,0,34,16,59,33,33,26,11,0,42,31,0,44,28,38,60,62,26,57,21,0,0,7,12,19,30,20,20,32,44,59,0,0,0,0,32,0,21,34
"ASV71",4,287,100,165,115,18,10,13,4,6,15,10,0,20,15,12,26,5,0,13,0,0,11,39,2,0,0,0,27,0,10,14,0,0,0,281,24,137,420,27,19,0,13,40,3,4,0,3,17,1,21,0,8,0,1,13,4,0,11,0
"ASV72",0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,33,53,55,25,0,33,0,0,0,4,0,6,9,7,21,1,12,6,1,5,21,25,7,16,28,33,74,37,15,0,0,0,3,0,18,21,5,18,26,20,36,8,21,22
"ASV73",4,0,1,0,0,33,5,43,0,29,0,0,14,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,24,198,197,22,238,4,0,3,0,16,1,0,11,52,25,0,38,0,0,0,0,0,1,0,30,222,153,0,12,183,0,0
"ASV74",27,160,91,79,68,10,18,13,33,21,48,19,39,13,21,1,38,2,12,75,0,0,0,12,0,46,5,16,25,10,13,46,4,49,2,106,41,72,178,22,41,8,33,38,37,13,12,8,89,8,50,18,31,4,16,21,12,12,43,12
"ASV75",4,52,21,13,8,78,18,83,0,59,86,13,100,25,61,0,13,10,12,16,2,21,1,0,6,6,18,10,39,18,28,29,29,6,11,1,81,34,1,67,28,11,9,3,17,24,19,14,37,14,45,23,0,0,0,0,32,0,14,35
"ASV76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV77",0,0,0,0,0,5,0,2,0,2,0,0,0,0,0,0,42,37,33,12,11,37,0,0,4,0,0,0,2,0,1,0,3,0,0,0,0,0,0,0,10,5,8,11,11,0,0,6,0,1,0,0,14,3,9,1,0,11,0,0
"ASV78",0,0,0,0,0,0,0,0,0,0,50,5,85,11,38,26,1,18,17,22,60,15,30,14,53,41,59,51,0,0,0,0,0,31,69,0,0,0,0,0,22,7,3,43,5,0,0,0,0,0,29,21,0,0,0,0,27,0,10,40
"ASV79",3,0,0,10,5,0,22,11,13,16,0,0,0,0,0,5,56,22,32,57,0,8,1,36,0,25,11,10,0,0,0,0,0,16,2,15,21,27,26,6,52,4,10,54,10,4,4,0,5,0,7,4,20,0,10,0,6,7,16,1
"ASV80",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,7,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,4,3,9,7,2,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"ASV81",0,38,2,51,8,0,37,0,18,0,0,0,0,0,0,6,0,0,0,0,0,0,0,18,0,78,0,4,0,0,0,0,0,37,0,0,0,0,0,0,81,0,35,150,12,0,0,0,0,0,3,0,12,0,8,12,0,0,2,1
"ASV82",12,0,0,0,0,0,0,0,5,0,20,0,57,6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,3,10,58,26,7,38,6,2,8,0,9,7,28,0,0,5,0,15,7,24,19
"ASV83",0,0,0,0,0,0,0,0,0,0,265,35,451,45,165,0,0,0,0,0,0,0,0,0,0,287,67,113,0,0,0,0,0,265,26,0,0,0,0,0,0,0,0,0,0,42,2,13,57,11,20,2,0,0,0,0,12,0,18,6
"ASV84",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,30,68,98,0,0,0,0,0,4,0,6,10,3,0,0,0,0,0,58,17,45,41,29,69,0,50,42,32,4,0,22,0,1,0,14,0,0,0,0,15,0,0,10
"ASV85",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,79,237,18,63,8,14,0,0,0,0,0,51,1,0,0,0,0,0,29,0,21,43,9,0,0,0,0,0,0,0,60,7,26,34,0,10,0,0
"ASV86",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,11,9,5,0,0,0,0,0,34,363,3,15,6,0,246,8,32,253
"ASV87",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,37,0,56,23,47,15,9,9,0,0,0,0,16,11,9,0,0,0,0,0,0,0,0,0,0,169,106,91,30,133,0,0,0,0,0,0,0,0,0,0
"ASV88",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV89",0,0,0,0,0,1,27,4,17,10,0,0,0,0,0,0,31,135,134,54,0,161,0,0,0,0,11,5,0,0,0,0,0,0,17,0,0,0,0,0,57,157,84,101,151,0,0,0,0,0,14,48,10,28,27,0,61,40,102,24
"ASV90",0,0,2,0,0,0,0,0,0,0,17,0,42,3,26,0,94,191,190,47,0,233,0,0,0,17,0,0,0,0,0,0,0,0,0,0,169,74,5,79,54,186,79,21,130,0,0,0,0,0,0,0,0,5,1,0,0,1,0,0
"ASV91",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,9,6,8,7,17,3,1,4,0,1,4,0,4,7,2,6,0,8,224,515,174,22,644,2,3,2,4,5,18,26,13,10,16,4,13,5,6,1,0,9,6,0,15
